Isolate	Species.Predicted	ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	Resistance	Host.Group	Genus	Species	Strain	Assembly.Accession	Isolation.Country	Geographic.Group	Collection.Year	Collection.Date	Host.Common.Name
GCA_000242375.2	campylobacter	474	2	4	1	2	2	1	5	0	Avian	Campylobacter	Campylobacter jejuni	P110B	GCA_000242375.2	New Zealand	Oceania	2005	2005	Chicken
GCA_000242395.2	campylobacter	474	2	4	1	2	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	H22082	GCA_000242395.2	New Zealand	Oceania	2005	2005	Human
GCA_000253455.2	campylobacter	3336	33	38	30	82	104	332	17	0	Avian	Campylobacter	Campylobacter coli	Z163	GCA_000253455.2	Switzerland	Europe	2002	2002	Chicken
GCA_000253475.2	campylobacter	1167	33	39	122	79	113	43	41	1	Avian	Campylobacter	Campylobacter coli	2548	GCA_000253475.2	USA	North America	2002	2002	Turkey
GCA_000253495.2	campylobacter	825	33	39	30	82	113	47	17	1	Avian	Campylobacter	Campylobacter coli	2553	GCA_000253495.2	USA	North America	2001	2001	Turkey
GCA_000253515.2	campylobacter	3872	33	39	103	82	104	324	41	0	Avian	Campylobacter	Campylobacter coli	2680	GCA_000253515.2	USA	North America	2002	2002	Turkey
GCA_000253535.2	campylobacter	1082	33	39	30	82	211	85	17	0	Avian	Campylobacter	Campylobacter coli	2685	GCA_000253535.2	USA	North America	2002	2002	Turkey
GCA_000253555.2	campylobacter	1017	33	39	30	82	104	43	41	0	Avian	Campylobacter	Campylobacter coli	2688	GCA_000253555.2	USA	North America	2002	2002	Turkey
GCA_000253575.2	campylobacter	860	33	39	30	79	113	47	17	0	Avian	Campylobacter	Campylobacter coli	2692	GCA_000253575.2	USA	North America	2003	2003	Turkey
GCA_000253595.2	campylobacter	829	33	39	30	82	113	43	17	1	Avian	Campylobacter	Campylobacter coli	2698	GCA_000253595.2	USA	North America	2003	2003	Turkey
GCA_000253635.2	campylobacter	1017	33	39	30	82	104	43	41	0	Avian	Campylobacter	Campylobacter coli	80352	GCA_000253635.2	USA	North America	2000	2000	Chicken
GCA_000253655.2	campylobacter	825	33	39	30	82	113	47	17	0	Avian	Campylobacter	Campylobacter coli	86119	GCA_000253655.2	USA	North America	2000	2000	Chicken
GCA_000253675.2	campylobacter	1068	33	39	30	78	104	43	17	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	1091	GCA_000253675.2	USA	North America	2002	2002	Cow
GCA_000253695.2	campylobacter	1104	33	39	30	82	104	85	68	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	1098	GCA_000253695.2	USA	North America	2002	2002	Cow
GCA_000253715.2	campylobacter	1068	33	39	30	78	104	43	17	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	1148	GCA_000253715.2	USA	North America	2002	2002	Cow
GCA_000253735.2	campylobacter	3221	33	153	44	82	104	44	17	1	Nonhuman Mammal	Campylobacter	Campylobacter coli	1417	GCA_000253735.2	USA	North America	2002	2002	Cow
GCA_000253795.2	campylobacter	1068	33	39	30	78	104	43	17	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	1891	GCA_000253795.2	USA	North America	2003	2003	Cow
GCA_000253815.2	campylobacter	1104	33	39	30	82	104	85	68	1	Nonhuman Mammal	Campylobacter	Campylobacter coli	1909	GCA_000253815.2	USA	North America	2002	2002	Cow
GCA_000253855.2	campylobacter	1104	33	39	30	82	104	85	68	1	Nonhuman Mammal	Campylobacter	Campylobacter coli	1948	GCA_000253855.2	USA	North America	2003	2003	Cow
GCA_000253875.2	campylobacter	2698	33	153	30	82	104	85	68	1	Nonhuman Mammal	Campylobacter	Campylobacter coli	1957	GCA_000253875.2	USA	North America	2003	2003	Cow
GCA_000253895.2	campylobacter	1104	33	39	30	82	104	85	68	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	1961	GCA_000253895.2	USA	North America	2003	2003	Cow
GCA_000253915.2	campylobacter	1585	33	39	30	82	189	43	17	1	Human	Campylobacter	Campylobacter coli	202/04	GCA_000253915.2	Poland	Europe	2005	2005	Human
GCA_000253955.2	campylobacter	5160	103	110	103	350	188	368	265	1	Human	Campylobacter	Campylobacter coli	317/04	GCA_000253955.2	Poland	Europe	2005	2005	Human
GCA_000253975.2	campylobacter	1191	33	39	30	82	189	47	17	1	Human	Campylobacter	Campylobacter coli	37/05	GCA_000253975.2	Poland	Europe	2005	2005	Human
GCA_000253995.2	campylobacter	1068	33	39	30	78	104	43	17	0	Human	Campylobacter	Campylobacter coli	LMG 9854	GCA_000253995.2	Canada	North America	2005	2005	Human
GCA_000254015.2	campylobacter	3868	33	176	30	82	451	43	17	0	Human	Campylobacter	Campylobacter coli	LMG 23336	GCA_000254015.2	Slovenia	Europe	2005	2005	Human
GCA_000254035.2	campylobacter	855	33	39	30	79	104	35	17	0	Human	Campylobacter	Campylobacter coli	LMG 23341	GCA_000254035.2	Bosnia and Herzegovina	Europe	2005	2005	Human
GCA_000254055.2	campylobacter	855	33	39	30	79	104	35	17	1	Human	Campylobacter	Campylobacter coli	LMG 23342	GCA_000254055.2	Slovenia	Europe	2005	2005	Human
GCA_000254075.2	campylobacter	1586	33	176	30	82	113	43	17	0	Human	Campylobacter	Campylobacter coli	LMG 23344	GCA_000254075.2	Belgium	Europe	2005	2005	Human
GCA_000254115.2	campylobacter	3869	33	39	261	79	104	64	17	0	Human	Campylobacter	Campylobacter coli	LMG 9853	GCA_000254115.2	Sweden	Europe	2005	2005	Human
GCA_000254135.2	campylobacter	900	32	38	30	82	152	35	17	0	Human	Campylobacter	Campylobacter coli	LMG 9860	GCA_000254135.2	Canada	North America	2005	2005	Human
GCA_000254155.2	campylobacter	3020	33	176	30	79	113	43	17	1	Human	Campylobacter	Campylobacter coli	H6	GCA_000254155.2	Switzerland	Europe	2005	2005	Human
GCA_000254175.2	campylobacter	901	33	39	30	79	104	43	41	1	Human	Campylobacter	Campylobacter coli	H8	GCA_000254175.2	Switzerland	Europe	2005	2005	Human
GCA_000254195.2	campylobacter	825	33	39	30	82	113	47	17	1	Human	Campylobacter	Campylobacter coli	H9	GCA_000254195.2	Switzerland	Europe	2005	2005	Human
GCA_000254215.2	campylobacter	1096	33	38	30	82	104	35	17	0	Human	Campylobacter	Campylobacter coli	H56	GCA_000254215.2	Switzerland	Europe	1995	1995	Human
GCA_000254235.2	campylobacter	854	33	38	30	82	104	43	17	0	Avian	Campylobacter	Campylobacter coli	Z156	GCA_000254235.2	Switzerland	Europe	2002	2002	Chicken
GCA_000254275.2	campylobacter	4834	103	2	5	2	156	3	6	0	Avian	Campylobacter	Campylobacter jejuni	51494	GCA_000254275.2	USA	North America	NA	NA	Chicken
GCA_000254295.2	campylobacter	4835	64	89	319	100	94	103	16	0	Avian	Campylobacter	Campylobacter jejuni	LMG 23216	GCA_000254295.2	Belgium	Europe	NA	NA	Chicken
GCA_000254315.2	campylobacter	48	2	4	1	2	7	1	5	0	Avian	Campylobacter	Campylobacter jejuni	LMG 23218	GCA_000254315.2	Belgium	Europe	NA	NA	Chicken
GCA_000254335.2	campylobacter	791	7	97	5	2	135	68	26	0	Avian	Campylobacter	Campylobacter jejuni	LMG 23223	GCA_000254335.2	Belgium	Europe	NA	NA	Chicken
GCA_000254355.2	campylobacter	3504	7	55	5	10	11	68	6	0	Avian	Campylobacter	Campylobacter jejuni	LMG 23263	GCA_000254355.2	Bosnia and Herzegovina	Europe	NA	NA	Chicken
GCA_000254375.2	campylobacter	4836	2	378	27	2	11	3	5	0	Avian	Campylobacter	Campylobacter jejuni	60004	GCA_000254375.2	USA	North America	NA	NA	Chicken
GCA_000254395.2	campylobacter	46	2	21	5	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	LMG 23264	GCA_000254395.2	Slovenia	Europe	NA	NA	Human
GCA_000254415.2	campylobacter	4837	8	17	5	3	10	59	6	1	Avian	Campylobacter	Campylobacter jejuni	LMG 23269	GCA_000254415.2	Belgium	Europe	NA	NA	Chicken
GCA_000254435.2	campylobacter	45	4	7	10	4	1	7	1	0	Avian	Campylobacter	Campylobacter jejuni	55037	GCA_000254435.2	USA	North America	NA	NA	Chicken
GCA_000254455.2	campylobacter	47	2	1	1	5	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	LMG 9879	GCA_000254455.2	Canada	North America	NA	NA	Human
GCA_000254475.2	campylobacter	4840	2	4	27	122	11	1	5	0	Avian	Campylobacter	Campylobacter jejuni	86605	GCA_000254475.2	USA	North America	NA	NA	Chicken
GCA_000254495.2	campylobacter	4883	27	33	22	49	101	9	31	0	NA	Campylobacter	Campylobacter jejuni	LMG 23357	GCA_000254495.2	Netherlands	Europe	2005	2005	NA
GCA_000254555.2	campylobacter	4838	7	17	5	68	11	3	6	1	Avian	Campylobacter	Campylobacter jejuni	53161	GCA_000254555.2	USA	North America	NA	NA	Chicken
GCA_000254575.2	campylobacter	443	24	17	2	15	23	3	12	1	Human	Campylobacter	Campylobacter jejuni	LMG 9217	GCA_000254575.2	Belgium	Europe	NA	NA	Human
GCA_000254835.2	campylobacter	939	7	2	5	2	156	3	6	1	Avian	Campylobacter	Campylobacter jejuni	51037	GCA_000254835.2	USA	North America	NA	NA	Chicken
GCA_000254875.2	campylobacter	50	2	1	12	3	2	1	5	0	Avian	Campylobacter	Campylobacter jejuni	87330	GCA_000254875.2	USA	North America	NA	NA	Chicken
GCA_000254895.2	campylobacter	452	7	17	12	2	10	3	6	0	Avian	Campylobacter	Campylobacter jejuni	87459	GCA_000254895.2	USA	North America	NA	NA	Chicken
GCA_000254935.2	campylobacter	132	1	6	22	24	12	28	1	0	Nonhuman Mammal	Campylobacter	Campylobacter jejuni	1213	GCA_000254935.2	USA	North America	2002	2002	Cow
GCA_000254955.2	campylobacter	122	6	4	5	2	2	1	5	0	Nonhuman Mammal	Campylobacter	Campylobacter jejuni	1577	GCA_000254955.2	USA	North America	2003	2003	Cow
GCA_000254975.2	campylobacter	61	1	4	2	2	6	3	17	0	Nonhuman Mammal	Campylobacter	Campylobacter jejuni	1798	GCA_000254975.2	USA	North America	2003	2003	Cow
GCA_000254995.2	campylobacter	922	1	1	2	83	2	3	6	0	Nonhuman Mammal	Campylobacter	Campylobacter jejuni	1854	GCA_000254995.2	USA	North America	2003	2003	Cow
GCA_000255015.2	campylobacter	38	2	4	2	2	6	1	5	0	Nonhuman Mammal	Campylobacter	Campylobacter jejuni	1893	GCA_000255015.2	USA	North America	2003	2003	Cow
GCA_000255035.2	campylobacter	806	2	1	1	3	140	3	5	0	Nonhuman Mammal	Campylobacter	Campylobacter jejuni	1928	GCA_000255035.2	USA	North America	2003	2003	Cow
GCA_000255055.2	campylobacter	677	10	81	50	99	120	76	52	0	Human	Campylobacter	Campylobacter jejuni	LMG 9872	GCA_000255055.2	Sweden	Europe	2005	2005	Human
GCA_000255075.2	campylobacter	380	7	2	6	10	78	37	1	1	Avian	Campylobacter	Campylobacter jejuni	LMG 23210	GCA_000255075.2	Belgium	Europe	NA	NA	Chicken
GCA_000255095.2	campylobacter	220	1	6	29	2	40	32	3	0	Avian	Campylobacter	Campylobacter jejuni	LMG 23211	GCA_000255095.2	Belgium	Europe	NA	NA	Chicken
GCA_000259315.1	campylobacter_nonjejuni_5	-	35?	~106	~19	65?	~112		NA	0	Human	Campylobacter	Campylobacter concisus	UNSWCD	GCA_000259315.1	Australia	Oceania	2008	2008	Human
GCA_000283215.1	campylobacter	573	7	28	4	28	17	34	12	1	Avian	Campylobacter	Campylobacter jejuni	Campylobacter jejuni	GCA_000283215.1	United Kingdom	Europe	NA	NA	Chicken
GCA_000313615.1	-	-							NA	0	Human	Campylobacter	Campylobacter showae	CSUNSWCD	GCA_000313615.1	Australia	Oceania	2009	2009	Human
GCA_000314025.1	campylobacter	1992	145	207	172	239	275	243	154	0	NA	Campylobacter	Campylobacter coli	NA	GCA_000314025.1	United Kingdom	Europe	2005	2005	NA
GCA_000321325.1	campylobacter	-	86	189	86	259?	287	236	76	0	NA	Campylobacter	Campylobacter coli	BIGS0001	GCA_000321325.1	United Kingdom	Europe	2007	2007	NA
GCA_000321325.1	campylobacter	-	86	189	86	259?	287	236	76	0	NA	Campylobacter	Campylobacter coli	BIGS0001	GCA_000321325.1	United Kingdom	Europe	2007	2007	NA
GCA_000355825.1	campylobacter	2993	1	2	42	4	11	9	8	1	Human	Campylobacter	Campylobacter jejuni	ICDCCJ07002	GCA_000355825.1	China	Asia	2007	2007	Human
GCA_000355845.1	campylobacter	2993	1	2	42	4	11	9	8	1	Human	Campylobacter	Campylobacter jejuni	ICDCCJ07004	GCA_000355845.1	China	Asia	2007	2007	Human
GCA_000374605.1	-	-								0	Human	Campylobacter	Campylobacter ureolyticus	DSM 20703	GCA_000374605.1	Canada	North America	NA	NA	Human
GCA_000376325.1	campylobacter_nonjejuni_5	1	1	1	1	1	1			0	Human	Campylobacter	Campylobacter curvus	DSM 6644	GCA_000376325.1	USA	North America	NA	NA	Human
GCA_000397125.1	campylobacter	-	7	17	2	951	23	3	12	0	Human	Campylobacter	Campylobacter jejuni	NCCP No. 15742	GCA_000397125.1	South Korea	Asia	2012	2012	Human
GCA_000414135.1	campylobacter_nonjejuni_9	4	1	2	2	2	1	2	1	0	Nonhuman Mammal	Campylobacter	Campylobacter fetus	99541	GCA_000414135.1	Argentina	South America	NA	NA	Cow
GCA_000430385.1	campylobacter	1460	6	4	5	2	11	1	5	0	Human	Campylobacter	Campylobacter jejuni	NA	GCA_000430385.1	USA	North America	2004	2001-20	Human
GCA_000438865.1	campylobacter	362	1	2	49	4	11	66	8	1	Human	Campylobacter	Campylobacter jejuni	HN-CJD07035	GCA_000438865.1	China	Asia	NA	NA	Human
GCA_000440015.1	campylobacter	3652	1	3	6	331	3	75	3	0	Human	Campylobacter	Campylobacter jejuni	BJ-CJD101	GCA_000440015.1	China	Asia	2003	2003	Human
GCA_000464875.1	campylobacter	-	33	817?	30	82	113	43	17	0	Avian	Campylobacter	Campylobacter coli	CVM N29716	GCA_000464875.1	USA	North America	2011	2011	Chicken
GCA_000465235.1	campylobacter	8168	33	39	103	82	113	43	17	0	NA	Campylobacter	Campylobacter coli	CVM N29710	GCA_000465235.1	USA	North America	NA	NA	NA
GCA_000466065.2	campylobacter	21	2	1	1	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	00-2538	GCA_000466065.2	Canada	North America	2000	2000	Human
GCA_000466075.2	campylobacter	21	2	1	1	3	2	1	5	1	Human	Campylobacter	Campylobacter jejuni	00-2544	GCA_000466075.2	Canada	North America	2000	2000	Human
GCA_000466105.2	campylobacter	21	2	1	1	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	00-2426	GCA_000466105.2	Canada	North America	2000	2000	Human
GCA_000468915.2	campylobacter	21	2	1	1	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	00-2425	GCA_000468915.2	Canada	North America	2000	2000	Human
GCA_000583775.1	campylobacter	1135	103	110	30	162	188	164	99	1	NA	Campylobacter	Campylobacter coli	RM4661	GCA_000583775.1	USA	North America	NA	NA	NA
GCA_000583795.1	campylobacter	1068	33	39	30	78	104	43	17	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	RM5611	GCA_000583795.1	USA	North America	NA	NA	Cow
GCA_000597805.1	-	-								0	Nonhuman Mammal	Campylobacter	Campylobacter corcagiensis	CIT045	GCA_000597805.1	Ireland	Europe	2013	2013	liontail macaque
GCA_000597825.1	-	-								0	Human	Campylobacter	Campylobacter ureolyticus	CIT007	GCA_000597825.1	Ireland	Europe	2012	2012	Human
GCA_000685605.1	campylobacter	305	9	53	2	10	11	3	3	1	Human	Campylobacter	Campylobacter jejuni	30286	GCA_000685605.1	Viet Nam	Asia	NA	NA	Human
GCA_000686225.1	campylobacter	1919	9	2	2	10	10	3	5	1	Human	Campylobacter	Campylobacter jejuni	10186	GCA_000686225.1	Viet Nam	Asia	NA	NA	Human
GCA_000686265.1	campylobacter	2157	8	21	2	212	153	253	147	1	Human	Campylobacter	Campylobacter jejuni	255	GCA_000686265.1	Pakistan	Asia	NA	NA	Human
GCA_000686285.1	campylobacter	460	24	30	2	2	89	59	6	1	Human	Campylobacter	Campylobacter jejuni	10227	GCA_000686285.1	Viet Nam	Asia	NA	NA	Human
GCA_000686305.1	campylobacter	4397	60	69	52	10	151	3	6	1	Human	Campylobacter	Campylobacter jejuni	30318	GCA_000686305.1	Viet Nam	Asia	NA	NA	Human
GCA_000686325.1	campylobacter	464	24	2	2	2	10	3	1	1	Human	Campylobacter	Campylobacter jejuni	Cj5	GCA_000686325.1	Thailand	Asia	NA	NA	Human
GCA_000686345.1	campylobacter	3919	24	30	2	2	11	59	6	1	Human	Campylobacter	Campylobacter jejuni	Cj1	GCA_000686345.1	Thailand	Asia	NA	NA	Human
GCA_000686365.1	campylobacter	918	2	4	1	4	19	1	5	0	Human	Campylobacter	Campylobacter jejuni	Cj2	GCA_000686365.1	Thailand	Asia	NA	NA	Human
GCA_000686385.1	campylobacter	574	7	53	2	10	11	3	3	1	Human	Campylobacter	Campylobacter jejuni	Cj3	GCA_000686385.1	Thailand	Asia	NA	NA	Human
GCA_000686405.1	campylobacter	3630	9	2	42	4	11	9	253	0	Human	Campylobacter	Campylobacter jejuni	K1	GCA_000686405.1	Pakistan	Asia	NA	NA	Human
GCA_000686445.1	campylobacter	161	14	21	2	10	86	3	6	1	Human	Campylobacter	Campylobacter jejuni	20176	GCA_000686445.1	Viet Nam	Asia	NA	NA	Human
GCA_000705255.1	-	-								0	Nonhuman Mammal	Campylobacter	Campylobacter mucosalis	DSM 21682	GCA_000705255.1	United Kingdom	Europe	1974	1974	Pig
GCA_000705275.1	campylobacter_nonjejuni_6	27	1	4	3	4	15	7		0	Nonhuman Mammal	Campylobacter	Campylobacter hyointestinalis	DSM 19053	GCA_000705275.1	USA	North America	1985	1985	Pig
GCA_000737085.1	campylobacter	8785	29	7	10	4	42	7	1	0	Avian	Campylobacter	Campylobacter jejuni	MTVDSCj20	GCA_000737085.1	USA	North America	2013	2013	Chicken
GCA_000744025.1	campylobacter_nonjejuni_9	4	1	2	2	2	1	2	1	0	Nonhuman Mammal	Campylobacter	Campylobacter fetus	biovar Intermedius 642-21 strain	GCA_000744025.1	Australia	Oceania	1967	1967	Cow
GCA_000744035.1	campylobacter_nonjejuni_9	4	1	2	2	2	1	2	1	0	Nonhuman Mammal	Campylobacter	Campylobacter fetus	biovar Venerealis B6 strain	GCA_000744035.1	Australia	Oceania	1964	1964	Cow
GCA_000788295.1	campylobacter_nonjejuni_8	-	~6	~2	~5	~8	4?	~6		0	Nonhuman Mammal	Campylobacter	Campylobacter sputorum	INTA08/209	GCA_000788295.1	Argentina	South America	2008	2008	Cow
GCA_000816365.1	campylobacter_nonjejuni_3	12		6		5	8	9		0	NA	Campylobacter	Campylobacter lari	RM3659	GCA_000816365.1	United Kingdom	Europe	NA	NA	NA
GCA_000816385.1	campylobacter_nonjejuni_3	15		9		8	11	11		0	NA	Campylobacter	Campylobacter lari	RM4110	GCA_000816385.1	France	Europe	NA	NA	NA
GCA_000816405.1	campylobacter_nonjejuni_3	-		~27		21	~86	~125		0	NA	Campylobacter	Campylobacter lari	RM16701	GCA_000816405.1	USA	North America	2013	2013-03	NA
GCA_000816425.1	campylobacter_nonjejuni_3	-		77		102	~27	72		0	NA	Campylobacter	Campylobacter lari	RM16712	GCA_000816425.1	USA	North America	2013	2013-03	NA
GCA_000816785.1	campylobacter_nonjejuni_3	-		34		3	6	19		1	NA	Campylobacter	Campylobacter peloridis	LMG 23910	GCA_000816785.1	Netherlands	Europe	NA	NA	NA
GCA_000821125.1	campylobacter	677	10	81	50	99	120	76	52	0	Avian	Campylobacter	Campylobacter jejuni	5070	GCA_000821125.1	Finland	Europe	2004	2004	Chicken
GCA_001224405.1	campylobacter	21	2	1	1	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	OXC6519	GCA_001224405.1	United Kingdom	Europe	2011	2011	Human
GCA_001225185.1	campylobacter	-	2	4	~1	2	408?	1	5	1	Human	Campylobacter	Campylobacter jejuni	OXC6295	GCA_001225185.1	United Kingdom	Europe	2011	2011	Human
GCA_001226425.1	campylobacter	42	1	2	3	4	5	9	3	0	Human	Campylobacter	Campylobacter jejuni	OXC6417	GCA_001226425.1	United Kingdom	Europe	2011	2011	Human
GCA_001232325.1	campylobacter	572	62	4	5	2	2	1	5	1	Human	Campylobacter	Campylobacter jejuni	OXC6430	GCA_001232325.1	United Kingdom	Europe	2011	2011	Human
GCA_001232565.1	campylobacter	3769	2	1	12	3	2	1	12	1	Human	Campylobacter	Campylobacter jejuni	OXC6552	GCA_001232565.1	United Kingdom	Europe	2011	2011	Human
GCA_001238785.1	campylobacter	573	7	28	4	28	17	34	12	1	Human	Campylobacter	Campylobacter jejuni	OXC6542	GCA_001238785.1	United Kingdom	Europe	2011	2011	Human
GCA_001305715.1	campylobacter	1585	33	39	30	82	189	43	17	1	Avian	Campylobacter	Campylobacter coli	BFR-CA-9557	GCA_001305715.1	Germany	Europe	2011	2011	Chicken
GCA_001417615.1	campylobacter	1068	33	39	30	78	104	43	17	0	NA	Campylobacter	Campylobacter coli	CO2-160	GCA_001417615.1	USA	North America	2009	2009	NA
GCA_001417635.1	campylobacter	1068	33	39	30	78	104	43	17	0	NA	Campylobacter	Campylobacter coli	HC2-48	GCA_001417635.1	USA	North America	2009	2009	NA
GCA_001417655.1	campylobacter	1068	33	39	30	78	104	43	17	0	NA	Campylobacter	Campylobacter coli	CF2-75	GCA_001417655.1	USA	North America	2009	2009	NA
GCA_001441745.1	campylobacter	2626	33	39	122	82	113	47	17	1	NA	Campylobacter	Campylobacter coli	CVM N14784	GCA_001441745.1	USA	North America	2007	39314	NA
GCA_001486825.1	campylobacter_nonjejuni_6	-	6?	2	4	8	4	10		0	Nonhuman Mammal	Campylobacter	Campylobacter fetus	006A-0113	GCA_001486825.1	Canada	North America	2007	2007	Cow
GCA_001487185.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487185.1	United Kingdom	Europe	2013	2013	NA
GCA_001487225.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487225.1	United Kingdom	Europe	2013	2013	NA
GCA_001487265.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487265.1	United Kingdom	Europe	2014	2014	NA
GCA_001487285.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487285.1	United Kingdom	Europe	2014	2014	NA
GCA_001487305.1	campylobacter	8137	130	177	87	276	335	126	194	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001487305.1	United Kingdom	Europe	2004	2004	Human
GCA_001487345.1	campylobacter	830	33	39	30	79	104	47	17	1	NA	Campylobacter	Campylobacter coli	NA	GCA_001487345.1	United Kingdom	Europe	2014	2014	NA
GCA_001487365.1	campylobacter	1764	81	104	69	113	143	43	67	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487365.1	United Kingdom	Europe	2009	2009	NA
GCA_001487385.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487385.1	United Kingdom	Europe	2014	2014	NA
GCA_001487405.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487405.1	United Kingdom	Europe	2014	2014	NA
GCA_001487425.1	campylobacter	1096	33	38	30	82	104	35	17	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	NA	GCA_001487425.1	United Kingdom	Europe	2008	2008	Pig
GCA_001487475.1	campylobacter	3311	81	86	87	113	270	238	152	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001487475.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001487515.1	campylobacter	8488	81	104	69	113	143	119	156	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487515.1	United Kingdom	Europe	2008	2008	NA
GCA_001487555.1	campylobacter	8425	87	39	533	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001487555.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001487575.1	campylobacter	854	33	38	30	82	104	43	17	0	Nonhuman Mammal	Campylobacter	Campylobacter coli	NA	GCA_001487575.1	United Kingdom	Europe	2008	2008	Pig
GCA_001487595.1	campylobacter	8456	145	492	233	697	848	649	568	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487595.1	United Kingdom	Europe	2005	2005	NA
GCA_001487615.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487615.1	United Kingdom	Europe	2014	2014	NA
GCA_001487655.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487655.1	United Kingdom	Europe	2014	2014	NA
GCA_001487675.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487675.1	United Kingdom	Europe	2014	2014	NA
GCA_001487695.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	CCN397	GCA_001487695.1	United Kingdom	Europe	NA	NA	NA
GCA_001487735.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001487735.1	United Kingdom	Europe	2013	2013	NA
GCA_001487755.1	campylobacter	1090	87	39	30	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001487755.1	United Kingdom	Europe	2004	2004	Chicken
